foil, isotope, R, var_R 
Ti01, 48V, 20734529.95411562, 18767119324.25627 
Ti02, 48V, 36008779.66608874, 418661141025.66473 
Ti03, 48V, 16914722.458117, 69044818021.59956 
Ti04, 48V, 1006651.4823243142, 134098463.59270889 
Ti05, 48V, 17567.921305557524, 92191.32083118605 
Ti01, 46SC, 2650233.634966802, 911738850.9818925 
Ti02, 46SC, 2782570.327095961, 1183200118.867809 
Ti03, 46SC, 3722661.3189335903, 3801425288.2877097 
Ti04, 46SC, 180899.50501779997, 29825395.674771477 
Ti05, 46SC, 15553.368857629119, 11209328.938069602 
